mint,name,symbol,checkpoint_minutes,monitoring_age_minutes,market_age_minutes,age_basis,window,window_minutes,mcap,liquidity,holders,total_trades,trades_per_hour,num_traders,trades_per_trader,trades_per_trader_per_hour,total_volume,volume_per_hour,avg_trade_size,volume_symmetry,trade_count_symmetry,trade_size_symmetry,turnover_liquidity,turnover_liquidity_per_hour,turnover_mcap,turnover_mcap_per_hour,price_change,holder_change,liquidity_change,num_net_buyers,net_buyer_share,price_impact_per_turnover,churn_per_response,cohort_market_age_band,cohort_mcap_band,cohort_liquidity_band,p_trades_per_hour,p_turnover_liquidity_per_hour,p_trades_per_trader_per_hour,p_volume_symmetry,p_trade_count_symmetry,p_trade_size_symmetry,p_price_impact_per_turnover,p_churn_per_response,matrix_review_trigger,matrix_extreme_axes,archetype_tags,bot_label,retire_label
FueF2nctX7HQ2QNbDcjqPeFtFZqByczUb1uSepXpump,LAYOO correct name,ACTUALLY READ,10,10,10.681506566666666,market_age:firstPool.createdAt,stats5m,5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,age:10-30m,mcap:null,liq:null,,,,,,,,,False,,,,
FugvoV6uvXWscbkLsW1eioDWBPjep2F24F3KfPg1BhBH,CATS HAVE MULTIPLE NAMES,Dancingcats,10,10,10.115075166666665,market_age:firstPool.createdAt,stats5m,5,,,2.0,,,,,,,,,,,,,,,,,,,,,,,age:10-30m,mcap:null,liq:null,,,,,,,,,False,,,,
FvMFdQSC837ZnmYi8pZ3tSgiDye6XDNQdgcFP23upump,The Sisyphus Man,Sisyphus,10,10,10.18067065,market_age:firstPool.createdAt,stats5m,5,89587.28536991424,9859.797470280932,170.0,466.0,5592.0,184.0,2.532608695652174,30.391304347826086,39489.3467802838,473872.1613634055,84.74108751133862,0.9823411728303322,0.8841201716738197,0.820793161492188,4.005087011098479,48.061044133181746,0.44079186702921747,5.28950240435061,47.751231382754035,1.1904761904761905,14.05002191627186,68.0,0.3695652173913043,0.09746599846982104,3.1934202089911152,age:10-30m,mcap:30-100k,liq:5-20k,0.9216335540838853,0.8839285714285714,0.6873589164785553,0.39212827988338195,0.45933734939759036,0.5259146341463414,0.3689516129032258,0.8726937269372693,False,,,,
Fvyw7sLizn6nsxKEMSipvqaz6s8PrqVrE4hYjGkLpump,Fluffy The Survivor,Fluffy,10,10,10.16955865,market_age:firstPool.createdAt,stats5m,5,17434.537230839214,6585.273369850995,192.0,800.0,9600.0,285.0,2.807017543859649,33.68421052631579,28536.447971431524,342437.3756571783,35.6705599642894,0.9788114524957934,0.8200000000000001,0.6660777884983886,4.333373326926475,52.0004799231177,1.6367769097395146,19.641322916874177,-10.18721851302363,31.506849315068493,-11.12248683602309,120.0,0.42105263157894735,0.02479428377969661,4.289588483494449,age:10-30m,mcap:10-30k,liq:5-20k,0.9503311258278145,0.8875,0.698645598194131,0.3717201166180758,0.37801204819277107,0.35823170731707316,0.2600806451612903,0.8874538745387454,False,,,,
FVZSWWVHypdqJK5oy7LKp3oPwCu9TfaxJncbEfJzpump,THATS CRAZY GOOD?,ALON,10,10,10.222767683333332,market_age:firstPool.createdAt,stats5m,5,,,1.0,2.0,24.0,1.0,2.0,24.0,0.17160339530836566,2.059240743700388,0.08580169765418283,0.9999995567578253,1.0,0.9999991135160434,,,,,,,,,,,,age:10-30m,mcap:null,liq:null,0.5586592178770949,,0.6783625730994152,0.7682926829268293,0.5683760683760684,0.7434782608695653,,,False,,,,
FW9wJR1p3ubrD9RnLxUpkXFauLDS1A7xEqAw1KEFKs8V,Horace,HORACE,10,10,10.166783933333333,market_age:firstPool.createdAt,stats5m,5,,1049.70962681109,5.0,,,,,,,,,,,,,,,,,25.0,,,,,,age:10-30m,mcap:null,liq:1-5k,,,,,,,,,False,,,,
FWeKKejjZ66TEdYwtFAPhREBruXurHdyDwH3xB5ypump,カノコー,Kanoko og,10,10,11.219192966666666,market_age:firstPool.createdAt,stats5m,5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,age:10-30m,mcap:null,liq:null,,,,,,,,,False,,,,
FwgEsQBsdNZgWUzTDrwcwXQHUGEGDbgqCCkNnTHxpump,BETTER THAN CATANA BTW,READ,10,10,10.191357683333333,market_age:firstPool.createdAt,stats5m,5,,,1.0,2.0,24.0,1.0,2.0,24.0,0.015271980968579027,0.18326377162294832,0.0076359904842895135,0.9999949999749999,1.0,0.99999,,,,,,,,,,,,age:10-30m,mcap:null,liq:null,0.5586592178770949,,0.6783625730994152,0.34146341463414637,0.5683760683760684,0.3130434782608696,,,False,,,,
Fwhak4fJA9Eq4imBjWNzRyb7gv5qw8sufV6madQvpump,here come dat boi! waddup!,herecomdatboi,10,10,10.1336096,market_age:firstPool.createdAt,stats5m,5,11700.502743964986,2290.550254508697,2.0,,,,,,,,,,,,,,,,,,,,,,,age:10-30m,mcap:10-30k,liq:1-5k,,,,,,,,,False,,,,
FxAggxRNzhxfrTnFTnSxTsdnKs3Lxxcac236Wvihpump,FLOAT NEW BONK TECH HELLO,FLOAT,10,10,10.18808065,market_age:firstPool.createdAt,stats5m,5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,age:10-30m,mcap:null,liq:null,,,,,,,,,False,,,,
